Time (UTC),EnergyUsage,Apartment,Hour,DayOfWeek,ProfileCluster,ProfileLabel,AnomalyFlag
2024-01-01 00:00:00,2.4536005340000004,H101,0,0,1,Daytime User,0
2024-01-01 01:00:00,0.531644642,H101,1,0,1,Daytime User,0
2024-01-01 02:00:00,0.373950316,H101,2,0,1,Daytime User,0
2024-01-01 03:00:00,0.380457826,H101,3,0,1,Daytime User,0
2024-01-01 04:00:00,0.490260486,H101,4,0,1,Daytime User,0
2024-01-01 05:00:00,0.377852545,H101,5,0,1,Daytime User,0
2024-01-01 06:00:00,0.37694682399999996,H101,6,0,1,Daytime User,0
2024-01-01 07:00:00,0.371160962,H101,7,0,1,Daytime User,0
2024-01-01 08:00:00,4.294539577,H101,8,0,1,Daytime User,0
2024-01-01 09:00:00,2.260563618,H101,9,0,1,Daytime User,0
2024-01-01 10:00:00,0.36923818999999997,H101,10,0,1,Daytime User,0
2024-01-01 11:00:00,1.449884886,H101,11,0,1,Daytime User,0
2024-01-01 12:00:00,2.515489919,H101,12,0,1,Daytime User,0
2024-01-01 13:00:00,0.38346544799999993,H101,13,0,1,Daytime User,0
2024-01-01 14:00:00,2.396126714,H101,14,0,1,Daytime User,0
2024-01-01 15:00:00,2.4155714980000003,H101,15,0,1,Daytime User,0
2024-01-01 16:00:00,0.5517741039999999,H101,16,0,1,Daytime User,0
2024-01-01 17:00:00,4.458155926000001,H101,17,0,1,Daytime User,0
2024-01-01 18:00:00,0.3840505679999999,H101,18,0,1,Daytime User,0
2024-01-01 19:00:00,4.473093232000001,H101,19,0,1,Daytime User,0
2024-01-01 20:00:00,2.4533890770000006,H101,20,0,1,Daytime User,0
2024-01-01 21:00:00,0.37927781399999994,H101,21,0,1,Daytime User,0
2024-01-01 22:00:00,4.355773408000001,H101,22,0,1,Daytime User,0
2024-01-01 23:00:00,4.26659008,H101,23,0,1,Daytime User,0
2024-01-02 00:00:00,0.48675890599999994,H101,0,1,1,Daytime User,0
2024-01-02 01:00:00,4.25284057,H101,1,1,1,Daytime User,0
2024-01-02 02:00:00,2.3348647720000004,H101,2,1,1,Daytime User,0
2024-01-02 03:00:00,0.37755365999999996,H101,3,1,1,Daytime User,0
2024-01-02 04:00:00,2.4331573060000005,H101,4,1,1,Daytime User,0
2024-01-02 05:00:00,2.297150182,H101,5,1,1,Daytime User,0
2024-01-02 06:00:00,0.37530943399999994,H101,6,1,1,Daytime User,0
2024-01-02 07:00:00,4.2002503440000005,H101,7,1,1,Daytime User,0
2024-01-02 08:00:00,4.600836061000001,H101,8,1,1,Daytime User,0
2024-01-02 09:00:00,4.5436879480000005,H101,9,1,1,Daytime User,0
2024-01-02 10:00:00,4.485313154000001,H101,10,1,1,Daytime User,0
2024-01-02 11:00:00,5.176879931000001,H101,11,1,1,Daytime User,0
2024-01-02 12:00:00,2.5429359090000005,H101,12,1,1,Daytime User,0
2024-01-02 13:00:00,8.561706236,H101,13,1,1,Daytime User,0
2024-01-02 14:00:00,13.439792702000002,H101,14,1,2,Evening User,0
2024-01-02 15:00:00,11.531275582000001,H101,15,1,1,Daytime User,0
2024-01-02 16:00:00,9.560884301,H101,16,1,1,Daytime User,0
2024-01-02 17:00:00,12.945559432,H101,17,1,2,Evening User,0
2024-01-02 18:00:00,19.927184246,H101,18,1,2,Evening User,0
2024-01-02 19:00:00,35.333548507,H101,19,1,2,Evening User,1
2024-01-02 20:00:00,38.891210188,H101,20,1,2,Evening User,1
2024-01-02 21:00:00,23.064422710000002,H101,21,1,2,Evening User,0
2024-01-02 22:00:00,20.902337307000003,H101,22,1,2,Evening User,0
2024-01-02 23:00:00,24.403571648000003,H101,23,1,2,Evening User,0
2024-01-03 00:00:00,16.599291189000002,H101,0,2,1,Daytime User,0
2024-01-03 01:00:00,9.213540925999999,H101,1,2,1,Daytime User,0
2024-01-03 02:00:00,10.638130657,H101,2,2,1,Daytime User,0
2024-01-03 03:00:00,9.002922604,H101,3,2,1,Daytime User,0
2024-01-03 04:00:00,9.058567722,H101,4,2,1,Daytime User,0
2024-01-03 05:00:00,11.171085049,H101,5,2,1,Daytime User,0
2024-01-03 06:00:00,9.537361376,H101,6,2,1,Daytime User,0
2024-01-03 07:00:00,13.578847450000001,H101,7,2,1,Daytime User,0
2024-01-03 08:00:00,23.458957351000002,H101,8,2,2,Evening User,0
2024-01-03 09:00:00,21.288204884000002,H101,9,2,2,Evening User,0
2024-01-03 10:00:00,9.949022147,H101,10,2,1,Daytime User,0
2024-01-03 11:00:00,11.873041136000001,H101,11,2,1,Daytime User,0
2024-01-03 12:00:00,22.136896970000002,H101,12,2,2,Evening User,0
2024-01-03 13:00:00,7.844805453999999,H101,13,2,1,Daytime User,0
2024-01-03 14:00:00,12.388634243,H101,14,2,2,Evening User,0
2024-01-03 15:00:00,14.22502345,H101,15,2,2,Evening User,0
2024-01-03 16:00:00,13.635040732,H101,16,2,2,Evening User,0
2024-01-03 17:00:00,17.974870606,H101,17,2,2,Evening User,0
2024-01-03 18:00:00,10.888485744,H101,18,2,2,Evening User,0
2024-01-03 19:00:00,16.412706478,H101,19,2,2,Evening User,0
2024-01-03 20:00:00,12.986848398,H101,20,2,2,Evening User,0
2024-01-03 21:00:00,18.153791814,H101,21,2,2,Evening User,0
2024-01-03 22:00:00,18.322580072,H101,22,2,2,Evening User,0
2024-01-03 23:00:00,17.822960039,H101,23,2,2,Evening User,0
2024-01-04 00:00:00,12.188423685,H101,0,3,0,Daytime User,0
2024-01-04 01:00:00,16.109742765,H101,1,3,0,Daytime User,0
2024-01-04 02:00:00,16.731710375,H101,2,3,0,Daytime User,0
2024-01-04 03:00:00,13.867413108,H101,3,3,0,Daytime User,0
2024-01-04 04:00:00,15.458982375,H101,4,3,0,Daytime User,0
2024-01-04 05:00:00,14.880675717,H101,5,3,0,Daytime User,0
2024-01-04 06:00:00,13.800387594,H101,6,3,0,Daytime User,0
2024-01-04 07:00:00,15.081649801000001,H101,7,3,2,Evening User,0
2024-01-04 08:00:00,19.828720674,H101,8,3,2,Evening User,0
2024-01-04 09:00:00,16.569634422999997,H101,9,3,2,Evening User,0
2024-01-04 10:00:00,15.843072783999999,H101,10,3,2,Evening User,0
2024-01-04 11:00:00,17.681821993,H101,11,3,2,Evening User,0
2024-01-04 12:00:00,20.762455955,H101,12,3,2,Evening User,0
2024-01-04 13:00:00,20.340267413,H101,13,3,2,Evening User,0
2024-01-04 14:00:00,15.117893348000003,H101,14,3,2,Evening User,0
2024-01-04 15:00:00,16.679294842,H101,15,3,2,Evening User,0
2024-01-04 16:00:00,16.665930890000002,H101,16,3,2,Evening User,0
2024-01-04 17:00:00,16.670445281000003,H101,17,3,2,Evening User,0
2024-01-04 18:00:00,17.118699689000003,H101,18,3,2,Evening User,0
2024-01-04 19:00:00,22.235989316,H101,19,3,2,Evening User,0
2024-01-04 20:00:00,28.081096285,H101,20,3,2,Evening User,0
2024-01-04 21:00:00,8.384874734,H101,21,3,2,Evening User,0
2024-01-04 22:00:00,7.095047028,H101,22,3,2,Evening User,0
2024-01-04 23:00:00,11.594256326,H101,23,3,2,Evening User,0
2024-01-05 00:00:00,12.346252606,H101,0,4,0,Daytime User,0
2024-01-05 01:00:00,12.543975737,H101,1,4,0,Daytime User,0
2024-01-05 02:00:00,16.537856805,H101,2,4,0,Daytime User,0
2024-01-05 03:00:00,10.695626431,H101,3,4,0,Daytime User,0
2024-01-05 04:00:00,17.239622830000002,H101,4,4,0,Daytime User,0
2024-01-05 05:00:00,13.060048282,H101,5,4,0,Daytime User,0
2024-01-05 06:00:00,18.734100176000002,H101,6,4,2,Evening User,0
2024-01-05 07:00:00,19.584805276,H101,7,4,2,Evening User,0
2024-01-05 08:00:00,20.706499869,H101,8,4,2,Evening User,0
2024-01-05 09:00:00,17.616745531000003,H101,9,4,2,Evening User,0
2024-01-05 10:00:00,18.497678905,H101,10,4,2,Evening User,0
2024-01-05 11:00:00,15.039089592000003,H101,11,4,2,Evening User,0
2024-01-05 12:00:00,20.445310320000004,H101,12,4,2,Evening User,0
2024-01-05 13:00:00,20.694552932,H101,13,4,2,Evening User,0
